Date 	series 	OPEN 	HIGH 	LOW 	PREV. CLOSE 	ltp 	close 	vwap 	52W H 	52W L 	VOLUME 	VALUE 	No of trades 
01-Nov-22	EQ	63.5	63.75	62.7	63.1	63.45	63.5	63.35	169	40.6	"5,04,25,928"	"3,19,45,10,810.65"	"82,715"
31-Oct-22	EQ	63.6	63.85	62.1	62.6	63.05	63.1	62.75	169	40.6	"4,59,49,861"	"2,88,35,58,412.90"	"1,08,650"
28-Oct-22	EQ	65.25	65.7	62.3	65.1	62.8	62.6	63.24	169	40.6	"5,67,87,309"	"3,59,11,82,372.15"	"98,313"
27-Oct-22	EQ	64.1	65.65	63.5	64.6	64.9	65.1	65.04	169	40.6	"6,48,53,360"	"4,21,80,24,207.25"	"1,19,807"
25-Oct-22	EQ	62.7	64.9	62.4	62.35	64.5	64.6	63.95	169	40.6	"8,10,43,498"	"5,18,26,72,094.85"	"1,21,171"
24-Oct-22	EQ	62.9	62.95	62.05	61.8	62.25	62.35	62.49	169	40.6	"77,75,480"	"48,59,08,616.70"	"35,288"
21-Oct-22	EQ	61.8	63.2	61.3	61.3	61.65	61.8	62.34	169	40.6	"6,58,25,881"	"4,10,33,29,873.30"	"1,42,661"
20-Oct-22	EQ	61.7	62	60.85	62.05	61.5	61.3	61.29	169	40.6	"5,75,13,138"	"3,52,52,60,840.65"	"1,10,070"
19-Oct-22	EQ	63.4	63.7	61.5	63	62.2	62.05	62.26	169	40.6	"5,26,38,798"	"3,27,73,18,172.90"	"91,785"
18-Oct-22	EQ	63.65	64.4	62.75	62.65	63.1	63	63.54	169	40.6	"4,94,31,277"	"3,14,07,61,660.50"	"94,306"
17-Oct-22	EQ	61.9	63.25	61.15	61.9	62.55	62.65	62.18	169	40.6	"5,60,07,734"	"3,48,24,06,997.60"	"97,841"
14-Oct-22	EQ	63	64.15	61.6	61.25	62.05	61.9	63	169	40.6	"8,51,39,332"	"5,36,38,23,105.55"	"1,44,394"
13-Oct-22	EQ	64.1	64.65	61	63.75	61.7	61.25	62.46	169	40.6	"7,37,50,800"	"4,60,63,51,986.55"	"1,32,130"
12-Oct-22	EQ	65.65	66.45	63.05	65.55	63.55	63.75	64.43	169	40.6	"6,77,99,710"	"4,36,85,71,171.50"	"1,13,921"
11-Oct-22	EQ	68.4	69.2	65	68.7	65.3	65.55	66.87	169	40.6	"7,01,71,064"	"4,69,24,72,537.90"	"1,25,721"
10-Oct-22	EQ	68.4	69.7	67.5	69.55	68.35	68.7	68.69	169	40.6	"8,71,58,481"	"5,98,66,46,254.95"	"1,46,150"
07-Oct-22	EQ	65.15	70.2	64.6	65.55	69.3	69.55	68	169	40.6	"17,08,79,536"	"11,61,98,42,011.95"	"2,31,553"
06-Oct-22	EQ	64.4	66.15	64.25	64.05	65.35	65.55	65.46	169	40.6	"5,98,66,072"	"3,91,85,85,014.15"	"1,33,986"
04-Oct-22	EQ	63.1	64.45	63	61.9	63.9	64.05	63.87	169	40.6	"4,70,77,008"	"3,00,69,66,850.55"	"92,827"
03-Oct-22	EQ	62	63.1	61.2	62.35	61.75	61.9	62.14	169	40.6	"4,45,28,871"	"2,76,69,84,445.15"	"81,812"
30-Sep-22	EQ	61.5	62.85	59.75	61.2	62.25	62.35	61.33	169	40.6	"7,14,94,895"	"4,38,51,36,250.85"	"1,25,827"
29-Sep-22	EQ	59.2	62	58.9	58.05	61.8	61.2	60.07	169	40.6	"7,69,69,699"	"4,62,32,62,690.85"	"1,28,571"
28-Sep-22	EQ	57.8	59.25	57.5	58.85	58.2	58.05	58.35	169	40.6	"6,43,34,024"	"3,75,39,02,039.30"	"90,372"
27-Sep-22	EQ	58.15	59.75	56.95	57.8	58.65	58.85	58.28	169	40.6	"7,96,41,870"	"4,64,16,15,774.20"	"1,16,779"
26-Sep-22	EQ	60	60.65	57.4	60.8	57.6	57.8	58.44	169	40.6	"6,58,32,873"	"3,84,74,31,347.95"	"1,46,599"
23-Sep-22	EQ	63	63.35	60.4	63.3	60.8	60.8	61.63	169	40.6	"5,67,30,282"	"3,49,61,84,338.45"	"1,00,312"
22-Sep-22	EQ	62.9	63.75	62.6	63.45	63.2	63.3	63.38	169	40.6	"3,47,16,572"	"2,20,01,88,454.70"	"61,078"
21-Sep-22	EQ	63.3	63.95	62.4	62.85	63.3	63.45	63.31	169	40.6	"5,91,31,994"	"3,74,38,96,626.30"	"99,207"
20-Sep-22	EQ	64.9	65.7	62.4	63.95	62.7	62.85	64.37	169	40.6	"7,79,04,810"	"5,01,46,92,471.15"	"1,15,125"
19-Sep-22	EQ	64.2	65.45	63.45	63.2	63.85	63.95	64.26	169	40.6	"7,04,53,100"	"4,52,71,08,904.45"	"1,32,160"
16-Sep-22	EQ	64.4	65	61.1	64.6	64.85	63.2	63.11	169	40.6	"19,65,37,446"	"12,40,33,76,466.65"	"1,62,862"
15-Sep-22	EQ	64	64.9	63.3	63.3	64.35	64.6	64.22	169	40.6	"8,81,85,944"	"5,66,34,71,040.25"	"1,30,768"
14-Sep-22	EQ	64.05	65.15	62.75	65.45	63.25	63.3	63.68	169	40.6	"11,98,24,317"	"7,63,08,17,191.85"	"1,77,723"
13-Sep-22	EQ	63	66.6	62.8	62.55	65.55	65.45	65.06	169	40.6	"19,90,32,705"	"12,94,85,23,527.70"	"2,79,865"
12-Sep-22	EQ	63	63.2	62.25	62.8	62.65	62.55	62.62	169	40.6	"6,40,44,347"	"4,01,07,22,557.30"	"89,027"
09-Sep-22	EQ	62	63.65	62	61.35	62.65	62.8	62.64	169	40.6	"13,93,69,425"	"8,73,03,26,870.95"	"1,68,949"
08-Sep-22	EQ	60.35	62.5	59.8	59.5	61.1	61.35	61.2	169	40.6	"12,84,30,049"	"7,85,97,24,894.80"	"1,76,794"
07-Sep-22	EQ	59.65	60.4	59.2	59.7	59.45	59.5	59.78	169	40.6	"5,98,43,737"	"3,57,75,85,442.10"	"90,214"
06-Sep-22	EQ	60.3	60.8	59.4	59.65	59.65	59.7	59.94	169	40.6	"7,01,86,636"	"4,20,70,70,296.50"	"1,03,795"
05-Sep-22	EQ	60.45	60.8	59.3	59.75	59.8	59.65	59.96	169	40.6	"8,45,39,046"	"5,06,86,62,937.15"	"1,46,788"
02-Sep-22	EQ	63.4	63.4	59.4	62.45	59.6	59.75	60.54	169	40.6	"13,79,46,710"	"8,35,06,17,879.80"	"2,14,212"
01-Sep-22	EQ	58.7	63.15	58.25	57.95	62.8	62.45	60.77	169	40.6	"19,24,77,817"	"11,69,76,78,086.70"	"2,71,246"
30-Aug-22	EQ	60.2	61.25	57.3	59.2	58.3	57.95	58.5	169	40.6	"16,20,54,037"	"9,48,04,09,754.30"	"2,61,744"
